id,vector,name,price,description,clean_text
73418586,https://www.meesho.com/s/p/42bfo2?utm_source=s,Trendy Elegant Men Shirts,257,Trendy Elegant Men Shirts Cotton Blend,trendi shirt cotton eleg blend men
11336581,https://www.meesho.com/s/p/rh3dl?utm_source=s,Trendy Fabulous Men Shirts,495,Trendy Fabulous Men Shirts Cotton Blend,trendi shirt cotton blend fabul men
66862660,https://www.meesho.com/s/p/3ogi7l?utm_source=s,Comfy Designer Men Shirts,308,Comfy Designer Men Shirts Cotton Blend,comfi shirt design cotton blend men
48874634,https://www.meesho.com/s/p/2o4vyk?utm_source=s,Urbane Elegant Men Shirts,385,Urbane Elegant Men Shirts Cotton,shirt urban eleg cotton men
10127918,https://www.meesho.com/s/p/ozvbs?utm_source=s,Pack of 2 Trendy Sensational Men Shirts,528,Pack of 2 Trendy Sensational Men Shirts Cotton Blend,trendi pack shirt sensat cotton blend men
58132364,https://www.meesho.com/s/p/35wbe1?utm_source=s,Classic Modern Men Shirts,311,Classic Modern Men Shirts Cotton,shirt modern cotton classic men
43968526,https://www.meesho.com/s/p/2fibvl?utm_source=s,Fancy Modern Men Shirts,252,Fancy Modern Men Shirts ,men modern shirt fanci
40445,https://www.meesho.com/s/p/82hc?utm_source=s,Men's Fancy Synthetic Foam Shoes Vol 2,501,Men's Fancy Synthetic Foam Shoes Vol 2 ,foam synthet vol fanci men shoe
23751510,https://www.meesho.com/s/p/1dwja1?utm_source=s,Modern Attractive Men Sports Shoes,372,Modern Attractive Men Sports Shoes ,attract sport modern men shoe
24586414,https://www.meesho.com/s/p/1ffgfq?utm_source=s,Modern Graceful Men Sports Shoes,434,Modern Graceful Men Sports Shoes ,grace sport modern men shoe
70121244,https://www.meesho.com/s/p/3v7sk0?utm_source=s,Unique Graceful Men Sports Shoes,473,Unique Graceful Men Sports Shoes ,uniqu grace sport men shoe
27794811,https://www.meesho.com/s/p/1lri1w?utm_source=s,Clymb Men Sports Shoes,561,Clymb Men Sports Shoes ,men clymb sport shoe
24021521,https://www.meesho.com/s/p/1ee1ng?utm_source=s,Modern Fabulous Men Sports Shoes,334,Modern Fabulous Men Sports Shoes ,sport modern fabul men shoe
74937857,https://www.meesho.com/s/p/45lwjl?utm_source=s,Latest Attractive Men Sports Shoes,576,Latest Attractive Men Sports Shoes ,attract latest sport men shoe
13788657,https://www.meesho.com/s/p/w8njn?utm_source=s,Unique Fashionable Men Sports Shoes,496,Unique Fashionable Men Sports Shoes ,uniqu sport fashion men shoe
37744392,https://www.meesho.com/s/p/24imdc?utm_source=s,Latest Trendy Men Sports Shoes,471,Latest Trendy Men Sports Shoes ,trendi latest sport men shoe
61729426,https://www.meesho.com/s/p/3d62z1?utm_source=s,Latest Graceful Men Sports Shoes,422,Latest Graceful Men Sports Shoes ,latest grace sport men shoe
42525277,https://www.meesho.com/s/p/2d38p7?utm_source=s,Footox Men Sports Shoes,412,Footox Men Sports Shoes ,men footox sport shoe
23751020,https://www.meesho.com/s/p/1dwi3e?utm_source=s,Unique Trendy Men Sports Shoes,347,Unique Trendy Men Sports Shoes ,trendi uniqu sport men shoe
54428156,https://www.meesho.com/s/p/2yerr5?utm_source=s,Aadab Attractive Men Sports Shoes,586,Aadab Attractive Men Sports Shoes ,attract sport aadab men shoe
77684206,https://www.meesho.com/s/p/4cfssx?utm_source=s,Modern Fashionable Men Sports Shoes,497,Modern Fashionable Men Sports Shoes ,sport fashion modern men shoe
11427261,https://www.meesho.com/s/p/rnqyb?utm_source=s,Knoos Sports Shoes For Men,466,Knoos Sports Shoes For Men ,knoo sport men shoe
34230739,https://www.meesho.com/s/p/1xw8k9?utm_source=s,Modern Trendy Men Sports Shoes,489,Modern Trendy Men Sports Shoes ,trendi sport modern men shoe
81521021,https://www.meesho.com/s/p/4li5o7?utm_source=s,Relaxed Trendy Men Sports Shoes,492,Relaxed Trendy Men Sports Shoes ,trendi shoe sport men relax
